"MW, Name",NIST ID
"1.   14.02 Ethene, homopolymer",C9002884
2.   16.03 Methane,C74828
3.   17.03 Ammonia,C7664417
4.   18.01 Water,C7732185
5.   20.02 Deuterium oxide,B6010117
6.   20.02 Deuterium oxide,C7789200
7.   25.01 beryllium oxide,C1304569
8.   25.01 Boron nitride,C10043115
9.   26.02 Acetylene,C74862
10.   27.01 Hydrogen cyanide,C74908
11.   27.99 Carbon monoxide,C630080
12.   28.03 Ethylene,C74851
13.   28.07 Diborane,C19287457
14.   30.00 Nitric oxide,C10102439
15.   30.01 Formaldehyde,C50000
16.   30.05 Ethane,C74840
17.   31.04 Methylamine,C74895
18.   32.03 Methyl Alcohol,C67561
19.   33.99 Hydrogen sulfide,C7783064
20.   34.00 Phosphine,C7803512
21.   34.01 Hydrogen peroxide,C7722841
22.   34.02 Methyl fluoride,C593533
23.   35.98 Hydrogen chloride,C7647010
24.   40.03 Allene,C463490
25.   40.03 Propyne,C74997
26.   41.03 Acetonitrile,C75058
27.   42.05 Propene,C115071
28.   42.05 Cyclopropane,C75194
29.   43.04 Ethylenimine,C151564
30.   43.99 Carbon dioxide,C124389
31.   44.00 Nitrous oxide,C10024972
32.   44.03 Acetaldehyde,C75070
33.   44.03 Ethylene oxide,C75218
"34.   44.03 Ethenol, homopolymer",C9002895
35.   44.06 Propane,C74986
36.   45.02 Formamide,C75127
37.   45.06 Dimethylamine,C124403
38.   45.06 Ethylamine,C75047
39.   46.01 Formic acid,C64186
"40.   46.02 Ethene, fluoro-",C75025
"41.   46.02 Silane, methyl-",C992949
42.   46.04 Dimethyl ether,C115106
43.   46.04 Ethanol,C64175
44.   47.98 Ozone,C10028156
45.   49.99 Chloromethane,C74873
46.   51.01 Propiolonitrile,C1070719
47.   52.01 Cyanogen,C460195
48.   53.00 Ammonium chloride,B6000448
49.   53.00 Ammonium Chloride,C12125029
50.   53.03 2-Propenenitrile,C107131
"51.   54.05 1,3-Butadiene",C106990
52.   54.05 1-Butyne,C107006
53.   54.05 2-Butyne,C503173
"54.   54.05 1,2-Butadiene",C590192
55.   54.12 Tetraborane(10),C18283937
56.   55.04 Propanenitrile,C107120
57.   56.03 2-Propenal,C107028
58.   56.03 Propargyl alcohol,C107197
59.   56.06 1-Butene,C106989
60.   56.06 2-Butene,C107017
"61.   56.06 1-Propene, 2-methyl-",C115117
"62.   56.06 2-Butene, (Z)-",C590181
"63.   56.06 2-Butene, (E)-",C624646
64.   56.06 Vistanex (b-100),C9003274
"65.   56.08 Borane, trimethyl-",C593908
66.   56.10 Ethyldiborane,B6000831
"67.   57.02 Methane, isocyanato-",C624839
68.   57.04 ammonium hydrogendifluoride,C1341497
69.   57.06 2-Propen-1-amine,C107119
70.   57.06 Cyclopropylamine,C765300
71.   57.96 sodium chloride,C7647145
72.   58.01 Glyoxal,C107222
"73.   58.02 Propyne, 3-fluoro-",C2805223
74.   58.04 2-Propen-1-ol,C107186
"75.   58.04 Ethene, methoxy-",C107255
76.   58.04 Propanal,C123386
77.   58.04 Trimethylene oxide,C503300
78.   58.04 Acetone,C67641
79.   58.04 Propylene oxide,C75569
80.   58.08 Butane,C106978
81.   58.08 Isobutane,C75285
82.   59.04 Acetaldoxime,C107299
"83.   59.04 Formamide, N-methyl-",C123397
84.   59.04 Acetamide,C60355
85.   59.07 Propylamine,C107108
86.   59.07 2-Propanamine,C75310
"87.   59.07 Methylamine, N,N-dimethyl-",C75503
88.   59.09 Dimethylamine borane,B6000359
89.   59.97 Quartz (SiO2),C14808607
90.   59.97 Dioxosilane,C7631869
91.   59.97 Carbonyl sulfide,C463581
92.   60.00 Thiirane,C420122
93.   60.02 Methyl formate,C107313
94.   60.02 Acetic acid,C64197
95.   60.03 Urea,C57136
96.   60.04 Allyl fluoride,C818928
97.   60.06 Isopropyl Alcohol,C67630
98.   60.06 1-Propanol,C71238
99.   60.07 Ethylenediamine,C107153
"100.   60.07 Hydrazine, 1,1-dimethyl-",C57147
"101.   61.02 Methane, nitro-",C75525
102.   61.05 Monoethanolamine,C141435
103.   61.98 Magnesium fluoride,C7783406
"104.   61.99 Ethene, chloro-",C75014
105.   62.02 Boric acid,C10043353
106.   62.02 Ethanethiol,C75081
107.   62.02 Dimethyl sulfide,C75183
108.   62.04 Polyethylene glycol,B6009512
109.   62.04 Polyethylene glycol,B6009513
110.   62.04 Pluronic f-68,B6009514
"111.   62.04 1,2-Ethanediol",C107211
112.   63.00 Nitric acid,C7697372
113.   63.96 Sulfur dioxide,C7446095
114.   64.01 Ethyl Chloride,C75003
"115.   64.01 Ethene, 1,1-difluoro-",C75387
"116.   64.03 Ethanol, 2-fluoro-",C371620
117.   64.99 Sodium cyanate,B6002726
118.   65.99 Carbonic difluoride,C353504
119.   66.02 Propanedinitrile,C109773
"120.   66.03 Ethane, 1,1-difluoro-",C75376
"121.   66.05 3-Penten-1-yne, (E)-",C2004695
"122.   66.05 1,3-Cyclopentadiene",C542927
"123.   67.02 Methanamine, hydrochloride",C593511
124.   67.04 3-Butenenitrile,C109751
125.   67.04 Pyrrole,C109977
126.   67.04 Methylacrylonitrile,C126987
127.   67.04 2-Butenenitrile,C4786203
128.   67.04 Cyclopropanecarbonitrile,C5500210
"129.   67.99 Formic acid, sodium salt",B6010183
130.   68.00 Boron trifluoride,C7637072
131.   68.03 Furan,C110009
132.   68.03 3-Butyn-2-one,C1423605
"133.   68.04 Glycinonitrile, n-methylene-",C109820
134.   68.04 1H-Pyrazole,C288131
135.   68.04 1H-Imidazole,C288324
136.   68.06 Cyclopentene,C142290
137.   68.06 Spiropentane,C157404
"138.   68.06 1,3-Pentadiene, (Z)-",C1574410
"139.   68.06 1,3-Pentadiene, (E)-",C2004708
"140.   68.06 1,4-Pentadiene",C591935
"141.   68.06 1,2-Pentadiene",C591957
"142.   68.06 1-Butyne, 3-methyl-",C598232
"143.   68.06 1,2-Butadiene, 3-methyl-",C598254
144.   68.06 1-Pentyne,C627190
145.   68.06 2-Pentyne,C627214
146.   68.06 Isoprene,C78795
147.   68.98 Sodium nitrite,B6007909
148.   69.00 Beryllium carbonate,B6001436
149.   69.02 Oxazole,C288426
150.   69.06 Butanenitrile,C109740
"151.   69.06 1H-Pyrrole, 2,5-dihydro-",C109966
"152.   69.06 Propanenitrile, 3-methoxy-",C110678
"153.   69.06 2-Propyn-1-amine, N-methyl-",C35161718
154.   69.06 Isobutyronitrile,C78820
155.   70.00 Fluoroform,C75467
156.   70.04 Vinyl ether,C109933
157.   70.04 Cyclobutanone,C1191953
"158.   70.04 Furan, 2,3-dihydro-",C1191997
159.   70.04 Cyclopropanecarboxaldehyde,C1489696
"160.   70.04 Furan, 2,5-dihydro-",C1708298
161.   70.04 3-Butyn-2-ol,C2028639
162.   70.04 2-Butenal,C4170303
163.   70.04 2-Butyn-1-ol,C764012
164.   70.04 Methyl vinyl ketone,C78944
165.   70.04 3-Butyn-1-ol,C927742
"166.   70.04 Oxirane, ethenyl-",C930223
"167.   70.05 Cyanamide, dimethyl-",C1467794
168.   70.05 3-Aminopropionitrile,C151188
169.   70.08 1-Pentene,C109671
"170.   70.08 Cyclopropane, ethyl-",C1191964
"171.   70.08 Cyclopropane, 1,1-dimethyl-",C1630940
"172.   70.08 Cyclopropane, 1,2-dimethyl-, trans-",C2402064
173.   70.08 Cyclopentane,C287923
"174.   70.08 2-Butene, 2-methyl-",C513359
"175.   70.08 1-Butene, 3-methyl-",C563451
176.   70.08 2-Methyl-1-butene,C563462
"177.   70.08 Cyclobutane, methyl-",C598618
"178.   70.08 2-Pentene, (Z)-",C627203
"179.   70.08 2-Pentene, (E)-",C646048
"180.   70.08 Cyclopropane, 1,2-dimethyl-, cis-",C930187
181.   71.00 Nitrogen trifluoride,C7783542
"182.   71.04 Propanenitrile, 3-hydroxy-",C109784
183.   71.04 Methoxyacetonitrile,C1738369
184.   71.04 2-Propenamide,C79061
185.   71.07 Pyrrolidine,C123751
186.   71.07 Cyclobutylamine,C2516349
187.   71.07 (Aminomethyl)cyclopropane,C2516474
"188.   71.07 2-Propen-1-amine, 2-methyl-",C2878140
189.   71.07 N-Methylallylamine,C627372
190.   72.02 Propiolactone,C57578
191.   72.02 Oxiranecarboxaldehyde-,C765344
192.   72.02 2-Propenoic acid,C79107
"193.   72.06 2,3-Dimethyloxirane",B6001758
"194.   72.06 Oxirane, ethyl-",C106887
"195.   72.06 Ethene, ethoxy-",C109922
196.   72.06 Tetrahydrofuran,C109999
"197.   72.06 1-Propene, 2-methoxy-",C116110
198.   72.06 Butanal,C123728
"199.   72.06 Butane, 2,3-epoxy, trans-",C1758323
200.   72.06 Cyclopropyl carbinol,C2516338
201.   72.06 Cyclobutanol,C2919235
"202.   72.06 2-Buten-1-ol, (Z)-",C4088602
"203.   72.06 2-Propen-1-ol, 2-methyl-",C513428
204.   72.06 Isobutylene epoxide,C558305
205.   72.06 3-Buten-2-ol,C598323
206.   72.06 2-Buten-1-ol,C6117915
207.   72.06 3-Buten-1-ol,C627270
"208.   72.06 1-Propene, 3-methoxy-",C627407
209.   72.06 2-Butanone,C78933
210.   72.09 Pentane,C109660
211.   72.09 Neopentane,C463821
"212.   72.09 Butane, 2-methyl-",C78784
"213.   73.00 Methane, isothiocyanato-",C556616
"214.   73.00 Thiocyanic acid, methyl ester",C556649
"215.   73.05 2-Propanone, oxime",C127060
216.   73.05 N-Ethylformamide,C627452
"217.   73.05 Formamide, N,N-dimethyl-",C68122
218.   73.05 Propanamide,C79050
"219.   73.05 Acetamide, N-methyl-",C79163
220.   73.09 1-Butanamine,C109739
"221.   73.09 Ethanamine, N-ethyl-",C109897
"222.   73.09 Ethanamine, N,N-dimethyl-",C598561
"223.   73.09 2-Propanamine, 2-methyl-",C75649
224.   73.11 Trimethylamine borane,B6000358
225.   73.97 calcium dihydroxide,C1305620
226.   74.02 Lithium carbonate,B6000502
"227.   74.02 Thiirane, methyl-",C1072431
228.   74.04 Ethyl formate,C109944
"229.   74.04 1,3-Dioxolane",C646060
230.   74.04 Propanoic acid,C79094
"231.   74.04 Acetic acid, methyl ester",C79209
"232.   74.05 Acetamide, 2-amino-",C598414
"233.   74.05 Urea, methyl-",C598505
234.   74.05 N-Nitrosodimethylamine,C62759
"235.   74.05 Boronic acid, ethyl-",C4433630
"236.   74.05 Borane, dimethoxy-",C4542614
237.   74.07 Ethyl ether,C60297
238.   74.07 1-Butanol,C71363
"239.   74.07 2-Propanol, 2-methyl-",C75650
"240.   74.07 1-Propanol, 2-methyl-",C78831
241.   74.07 2-Butanol,C78922
242.   74.99 Chloromethyl cyanide,C107142
243.   75.03 Glycine,C56406
244.   75.03 Glycolamide,C598425
"245.   75.03 Ethane, nitro-",C79243
"246.   75.07 1-Propanol, 3-amino-",C156876
"247.   75.07 1-Propanol, 2-amino-, (S)-",C2749113
"248.   75.07 2-Propanol, 1-amino-",C78966
"249.   75.08 2-Propanol, 2-methyl-d",B6010145
"250.   75.08 2-Propanol, 2-methyl-d",B6010146
251.   75.94 Carbon disulfide,C75150
252.   76.01 Allyl chloride,C107051
"253.   76.01 1-Propene, 1-chloro-, (Z)-",C16136848
254.   76.01 trans-1-Chloropropene,C16136859
"255.   76.01 1-Propene, 2-chloro-",C557982
"256.   76.01 1-Propene, 1-chloro-",C590216
257.   76.01 Ammonium thiocyanate,C1762954
258.   76.01 Thiourea,C62566
"259.   76.02 Acetic acid, hydroxy-",C79141
"260.   76.03 Oxirane, (fluoromethyl)-",C503093
261.   76.03 Propyl mercaptan,C107039
"262.   76.03 Ethane, (methylthio)-",C624895
263.   76.03 2-Propanethiol,C75332
264.   76.05 Polyglycol p-750 (dow),B6009518
"265.   76.05 Ethanol, 2-methoxy-",C109864
266.   76.05 Methylal,C109875
"267.   76.05 1,3-Propanediol",C504632
268.   76.05 Propylene Glycol,C57556
269.   76.13 Hexaborane,C23777802
270.   77.05 Ammonium acetate,B6003067
271.   77.05 Ammonium acetate,C631618
272.   77.95 Germane,C7782652
273.   77.99 Acetyl chloride,C75365
274.   77.99 aluminium hydroxide,C21645512
"275.   78.01 Ethanol, 2-mercapto-",C60242
276.   78.01 Dimethyl Sulfoxide,C67685
277.   78.02 n-Propyl chloride,C540545
"278.   78.02 Propane, 2-chloro-",C75296
279.   78.04 Carbamic acid ammoniate,B6004154
"280.   78.05 2,4-Hexadiyne",C2809690
"281.   78.05 1,5-Hexadiyne",C628160
282.   78.05 Benzene,C71432
"283.   78.05 1,5-Hexadien-3-yne",C821089
284.   79.03 Ammonium bicarbonate,C1066337
285.   79.04 Pyridine hydrochloride,B6002058
286.   79.04 Pyridine,C110861
"287.   79.04 2,4-Pentadienenitrile",C1615709
"288.   79.04 Trans-1-cyano-1,3-butadiene",C2180689
"289.   79.04 Cis-1-cyano-1,3-butadiene",C2180690
290.   79.92 Zinc oxide (french process),B6004648
291.   79.92 Zinc oxide (lead free ),B6004650
292.   79.92 Leaded zinc oxide,B6004651
293.   79.93 Hydrogen bromide,C10035106
294.   79.94 Titanium dioxide (anatase),C13463677
295.   80.00 2-Chloroethanol,C107073
"296.   80.00 Methane, chloromethoxy-",C107302
297.   80.02 Ammonium nitrate,C6484522
298.   80.04 Butanedinitrile,C110612
299.   80.04 Pyridazine,C289805
"300.   80.04 1,3-Diazine",C289952
301.   80.04 Pyrazine,C290379
"302.   80.06 1,3-Cyclohexadiene",C592574
"303.   80.06 1,4-Cyclohexadiene",C628411
"304.   80.09 Dimethylamine, n-nitroso-, d6",B6009735
"305.   80.10 N,N-di[2H3]methyl[2H]formamide",C4472417
306.   80.13 Ethylenetetraborane,B6000844
307.   80.96 Sodium thiocyanate,B6000488
"308.   81.03 1,3,5-Triazine",C290879
309.   81.03 Dimethylamine hydrochloride,C506592
310.   81.03 Ethanamine hydrochloride,C557664
311.   81.06 (E)-2-Pentenenitrile,C26294984
312.   81.06 Cyclobutanecarbonitrile,C4426113
313.   81.06 3-Pentenenitrile,C4635874
314.   81.06 Methallyl cyanide,C4786190
"315.   81.06 1H-Pyrrole, 1-methyl-",C96548
316.   81.98 Sodium perborate,B6002382
317.   82.00 Sodium acetate,B6002039
"318.   82.00 Acetic acid, sodium salt",B6005784
"319.   82.00 Acetic acid, sodium salt",B6008022
320.   82.02 CHF2CH2OH,C359137
"321.   82.04 Furan, 2-methyl-",C534225
322.   82.04 2-Cyclopenten-1-one,C930303
323.   82.05 3-Aminocrotononitrile,C1118612
"324.   82.05 1H-Imidazole, 1-methyl-",C616477
325.   82.08 Cyclohexene,C110838
"326.   82.08 1,4-Pentadiene, 3-methyl-",C1115088
"327.   82.08 1,3-Pentadiene, 2-methyl-",C1118587
"328.   82.08 Cyclopentene, 3-methyl-",C1120623
"329.   82.08 1,3-Pentadiene, 3-methyl-, (E)-",C2787431
"330.   82.08 1,3-Pentadiene, 3-methyl-, (Z)-",C2787453
"331.   82.08 1,3-Pentadiene, 3-methyl-",C4549740
332.   82.08 Isopropenylcyclopropane,C4663223
"333.   82.08 2,4-Hexadiene, (E,Z)-",C5194503
"334.   82.08 2,4-Hexadiene, (E,E)-",C5194514
"335.   82.08 1,5-Hexadiene",C592427
"336.   82.08 2,4-Hexadiene",C592461
337.   82.08 C2H5CH=CHCH=CH2,C592483
"338.   82.08 (Z),(Z)-2,4-Hexadiene",C6108618
339.   82.08 1-Hexyne,C693027
"340.   82.08 Cyclopentene, 1-methyl-",C693890
"341.   82.08 1-Pentyne, 4-methyl-",C7154758
"342.   82.08 trans-1,4-Hexadiene",C7319008
"343.   82.08 1,4-Pentadiene, 2-methyl-",C763304
344.   82.08 2-Hexyne,C764352
"345.   82.08 1-Butyne, 3,3-dimethyl-",C917920
"346.   82.08 1-Pentyne, 3-methyl-",C922598
"347.   82.08 1,3-Pentadiene, 2-methyl-, (E)-",C926545
"348.   82.08 4-Methyl-1,3-pentadiene",C926567
349.   82.08 3-Hexyne,C928494
350.   83.01 Ammonium hypophosphite,C7803658
351.   83.01 Methoxyamine hydrochloride,C593566
352.   83.04 Alpha-oxobutyronitrile,C4390787
353.   83.05 3-Aminopyrazole,C1820800
354.   83.07 Pentanenitrile,C110598
"355.   83.07 Propanenitrile, 2,2-dimethyl-",C630182
"356.   83.07 1,2,3,6-Tetrahydropyridine",C694053
"357.   83.07 Propane, 2-isocyano-2-methyl-",C7188387
358.   83.95 Methylene chloride,C75092
359.   83.98 Aluminum fluoride,C7784181
360.   83.98 Sodium bicarbonate,B6000512
361.   83.98 Sodium bicarbonate,B6007910
362.   84.00 Sodium metaborate,B6000451
363.   84.00 Thiophene,C110021
364.   84.02 2-Butynoic acid,C590932
"365.   84.02 2-Oxetanone, 4-methylene-",C674828
"366.   84.02 2-Propynoic acid, methyl ester",C922678
"367.   84.03 Acetamide, 2-cyano-",C107915
"368.   84.03 Formamide, N-(cyanomethyl)-",C5018279
369.   84.05 Dimethylsulfoxide-D6,C2206271
"370.   84.06 Pyran, 2,3-dihydro-",B6004301
371.   84.06 3-Pentyn-1-ol,C10229104
"372.   84.06 2H-Pyran, 3,4-dihydro-",C110872
"373.   84.06 3-Butyn-2-ol, 2-methyl-",C115195
374.   84.06 Cyclopentanone,C120923
375.   84.06 3-Pentyn-2-ol,C27301548
376.   84.06 6-Oxabicyclo[3.1.0]hexane,C285676
377.   84.06 2-Methylenecyclopropanemethanol,C29279661
378.   84.06 1-Pentyn-3-ol,C4187864
"379.   84.06 2-Butenal, 2-methyl-, (E)-",C497030
380.   84.06 4-Pentyn-1-ol,C5390045
381.   84.06 2-Pentyn-1-ol,C6261229
"382.   84.06 Ethanone, 1-cyclopropyl-",C765435
"383.   84.06 3-Buten-2-one, 3-methyl-",C814788
"384.   84.06 1,4-Pentadien-3-ol",C922656
385.   84.08 Benzene-D6,C1076433
386.   84.09 Cyclohexane,C110827
"387.   84.09 3-Hexene, (E)-",C13269528
"388.   84.09 Cyclopropane, 1-ethyl-2-methyl-, cis-",C19781681
"389.   84.09 Propane, 2-cyclopropyl-",C3638355
"390.   84.09 2-Pentene, 4-methyl-",C4461487
"391.   84.09 Cyclobutane, ethyl-",C4806615
"392.   84.09 1-Butene, 3,3-dimethyl-",C558372
"393.   84.09 1-Butene, 2,3-dimethyl-",C563780
"394.   84.09 2-Butene, 2,3-dimethyl-",C563791
395.   84.09 1-Hexene,C592416
396.   84.09 2-Hexene,C592438
"397.   84.09 2-Pentene, 3-methyl-, (E)-",C616126
"398.   84.09 2-Pentene, 2-methyl-",C625274
"399.   84.09 2-Pentene, 4-methyl-, (E)-",C674760
"400.   84.09 1-Pentene, 4-methyl-",C691372
"1.   84.09 2-Pentene, 4-methyl-, (Z)-",C691383
"2.   84.09 1-Pentene, 3-methyl-",C760203
"3.   84.09 Pentane, 3-methylene-",C760214
"4.   84.09 1-Pentene, 2-methyl-",C763291
"5.   84.09 3-Hexene, (Z)-",C7642093
"6.   84.09 2-Hexene, (Z)-",C7688213
"7.   84.09 2-Pentene, 3-methyl-, (Z)-",C922623
"8.   84.09 Cyclopentane, methyl-",C96377
9.   84.13 Sym-diethyldiborane,B6000830
10.   84.96 Potassium nitrite,B6000538
11.   84.98 Sodium nitrate,B6009950
12.   84.98 sodium nitrate,C7631994
13.   85.00 1-Isothiocyanatoethylene,C1520225
14.   85.00 Thiazole,C288471
"15.   85.02 Acetic acid, cyano-",C372098
16.   85.04 1-Aminotetrazole,C5378494
17.   85.05 2-Pyrrolidinone,C616455
18.   85.05 Cyclopropanecarboxamide,C6228735
19.   85.05 Methacrylamide,C79390
20.   85.09 Piperidine,C110894
21.   85.09 (CH3)2C=NC2H5,C15673048
"22.   85.09 2-Propen-1-amine, N-ethyl-",C2424024
23.   85.97 Difluorochloromethane,C75456
"24.   86.00 1,3-Dioxol-2-one",C872366
25.   86.04 Acetic acid ethenyl ester,C108054
"26.   86.04 2-Butyne-1,4-diol",C110656
"27.   86.04 2,2'-Bioxirane",C1464535
28.   86.04 Cyclopropanecarboxylic acid,C1759531
"29.   86.04 2-Oxetanone, 4-methyl-",C3068880
